4077	262	0
262	4077	3
4078	263	0
263	4078	3
4079	263	0
263	4079	3
4079	264	0
264	4079	3
4080	266	0
266	4080	3
4080	267	0
267	4080	3
4080	268	0
268	4080	3
4081	269	0
269	4081	3
4082	270	0
270	4082	3
4083	271	0
271	4083	3
4084	273	0
273	4084	3
4084	274	0
274	4084	3
4085	275	0
275	4085	3
4086	276	0
276	4086	3
4086	277	0
277	4086	3
4087	278	0
278	4087	3
4088	71	0
71	4088	3
4089	279	0
279	4089	3
4090	282	0
282	4090	3
4091	283	0
283	4091	3
4092	284	0
284	4092	3
4093	76	0
76	4093	3
4094	76	0
76	4094	3
4095	285	0
285	4095	3
4096	286	0
286	4096	3
4097	287	0
287	4097	3
4098	288	0
288	4098	3
4099	287	0
287	4099	3
4099	289	0
289	4099	3
4100	290	0
290	4100	3
4101	292	0
292	4101	3
4102	291	0
291	4102	3
4103	296	0
296	4103	3
4104	298	0
298	4104	3
4105	43	0
43	4105	3
4106	299	0
299	4106	3
4107	300	0
300	4107	3
4108	302	0
302	4108	3
4109	303	0
303	4109	3
4110	304	0
304	4110	3
4111	305	0
305	4111	3
4112	306	0
306	4112	3
4113	306	0
306	4113	3
4114	307	0
307	4114	3
4115	308	0
308	4115	3
4115	309	0
309	4115	3
4116	310	0
310	4116	3
4117	311	0
311	4117	3
4117	312	0
312	4117	3
4118	313	0
313	4118	3
4118	314	0
314	4118	3
4118	315	0
315	4118	3
4119	313	0
313	4119	3
4119	314	0
314	4119	3
4119	315	0
315	4119	3
4120	311	0
311	4120	3
4120	312	0
312	4120	3
4121	317	0
317	4121	3
4122	320	0
320	4122	3
4123	320	0
320	4123	3
4123	321	0
321	4123	3
4124	319	0
319	4124	3
4124	322	0
322	4124	3
4125	319	0
319	4125	3
4125	322	0
322	4125	3
4126	323	0
323	4126	3
4127	324	0
324	4127	3
4128	325	0
325	4128	3
4129	327	0
327	4129	3
4130	328	0
328	4130	3
4131	329	0
329	4131	3
4132	334	0
334	4132	3
4133	335	0
335	4133	3
4134	336	0
336	4134	3
4135	337	0
337	4135	3
4136	339	0
339	4136	3
4137	340	0
340	4137	3
4138	340	0
340	4138	3
4139	341	0
341	4139	3
4139	342	0
342	4139	3
4140	343	0
343	4140	3
4141	344	0
344	4141	3
4142	344	0
344	4142	3
4143	346	0
346	4143	3
4144	346	0
346	4144	3
4145	346	0
346	4145	3
4146	73	0
73	4146	3
4147	349	0
349	4147	3
4147	350	0
350	4147	3
4148	346	0
346	4148	3
4149	353	0
353	4149	3
4150	335	0
335	4150	3
4151	314	0
314	4151	3
4152	354	0
354	4152	3
4153	356	0
356	4153	3
4154	357	0
357	4154	3
4155	357	0
357	4155	3
4155	358	0
358	4155	3
4156	359	0
359	4156	3
4157	361	0
361	4157	3
4158	362	0
362	4158	3
4159	358	0
358	4159	3
4160	363	0
363	4160	3
4161	364	0
364	4161	3
4162	363	0
363	4162	3
4163	365	0
365	4163	3
4164	366	0
366	4164	3
4165	367	0
367	4165	3
4166	368	0
368	4166	3
4167	369	0
369	4167	3
4168	370	0
370	4168	3
4169	371	0
371	4169	3
4170	372	0
372	4170	3
4171	373	0
373	4171	3
4172	374	0
374	4172	3
4173	318	0
318	4173	3
4174	318	0
318	4174	3
4175	291	0
291	4175	3
4176	318	0
318	4176	3
4177	318	0
318	4177	3
4177	376	0
376	4177	3
4178	318	0
318	4178	3
4179	267	0
267	4179	3
4180	73	0
73	4180	3
4180	318	0
318	4180	3
4181	378	0
378	4181	3
4182	378	0
378	4182	3
4182	379	0
379	4182	3
4182	380	0
380	4182	3
4183	278	0
278	4183	3
4183	378	0
378	4183	3
4183	381	0
381	4183	3
4184	382	0
382	4184	3
4185	36	0
36	4185	3
4185	383	0
383	4185	3
4186	121	0
121	4186	3
4186	365	0
365	4186	3
4187	384	0
384	4187	3
4188	385	0
385	4188	3
4189	384	0
384	4189	3
4189	386	0
386	4189	3
4189	387	0
387	4189	3
4190	389	0
389	4190	3
4191	391	0
391	4191	3
4192	391	0
391	4192	3
4193	391	0
391	4193	3
4194	308	0
308	4194	3
4194	391	0
391	4194	3
4195	392	0
392	4195	3
4196	394	0
394	4196	3
4197	395	0
395	4197	3
4198	395	0
395	4198	3
4198	396	0
396	4198	3
4199	91	0
91	4199	3
4200	274	0
274	4200	3
4201	398	0
398	4201	3
4202	399	0
399	4202	3
4203	400	0
400	4203	3
4204	388	0
388	4204	3
4205	378	0
378	4205	3
4206	388	0
388	4206	3
4207	91	0
91	4207	3
4207	402	0
402	4207	3
4207	403	0
403	4207	3
4208	297	0
297	4208	3
4209	318	0
318	4209	3
4209	406	0
406	4209	3
4210	318	0
318	4210	3
4210	406	0
406	4210	3
4211	407	0
407	4211	3
4212	408	0
408	4212	3
4213	408	0
408	4213	3
4214	102	0
102	4214	3
4214	408	0
408	4214	3
4215	409	0
409	4215	3
4215	410	0
410	4215	3
4216	411	0
411	4216	3
4217	414	0
414	4217	3
4218	415	0
415	4218	3
4219	397	0
397	4219	3
4220	347	0
347	4220	3
4220	416	0
416	4220	3
4221	269	0
269	4221	3
4221	417	0
417	4221	3
4222	361	0
361	4222	3
4223	280	0
280	4223	3
4224	418	0
418	4224	3
4224	419	0
419	4224	3
4225	422	0
422	4225	3
4226	424	0
424	4226	3
4227	424	0
424	4227	3
4228	424	0
424	4228	3
4229	366	0
366	4229	3
4230	277	0
277	4230	3
4230	366	0
366	4230	3
4231	425	0
425	4231	3
4232	276	0
276	4232	3
4232	277	0
277	4232	3
4233	426	0
426	4233	3
4234	428	0
428	4234	3
4235	428	0
428	4235	3
4236	333	0
333	4236	3
4237	429	0
429	4237	3
4238	429	0
