0	David Hogg	0
1	Martial Hebert	0
2	Gady Agam	0
3	Takeo Kanade	0
4	Hong Zhang	0
5	Katsushi Ikeuchi	0
6	Ken-ichi Kanatani	0
7	Djemel Ziou	0
8	Avinash C. Kak	0
9	Jens Gregor	0
10	Jake K. Aggarwal	0
11	Steven Feiner	0
12	Hongtao Xu	0
13	Stefano Lonardi	0
14	Thomas S. Huang	0
15	Benjamin Bustos	0
16	Yi Liu	0
17	Darrell D. E. Long	0
18	Takashi Matsuyama	0
19	Alex Pentland	0
20	Wei Zhang	0
21	Matthias Hemmje	0
22	Steven W. Zucker	0
23	Gang Li	0
24	Heng Huang	0
25	Fillia Makedon	0
26	Parris K. Egbert	0
27	Rey-Long Liu	0
28	Young-Koo Lee	0
29	Gang Xu	0
30	Jian Yang	0
31	Joachim Diederich	0
32	David L. Dowe	0
33	Junho Shim	0
34	Sukho Lee	0
35	Seyed M. M. Tahaghoghi	0
36	Wei Li	0
37	Nan Zhang	0
38	Peter P. Chen	0
39	Lei Wang	0
40	Joachim Hammer	0
41	Herman Lam	0
42	Tao Li	0
43	Brian Logan	0
44	Hiroshi Yasuda	0
45	Katsumi Tanaka	0
46	Matthew Chalmers	0
47	James A. Hendler	0
48	Allison Woodruff	0
49	Scott E. Hudson	0
50	Carl Gutwin	0
51	John M. Carroll	0
52	Roger C. Schank	0
53	Ben Shneiderman	0
54	Jason I. Hong	0
55	Roger King	0
56	N. Hari Narayanan	0
57	M. Cameron Jones	0
58	Hermann Kaindl	0
59	Christian Stary	0
60	Daniel C. Robbins	0
61	Matt Jones	0
62	Maxine Frank	0
63	Nick Cercone	0
64	Abdur Chowdhury	0
65	Paul W. P. J. Grefen	0
66	Josiane Mothe	0
67	Peter R. Wurman	0
68	Dongmo Zhang	0
69	Guido Boella	0
70	Ying Chen	0
71	Mark S. Fox	0
72	Vincent Conitzer	0
73	Tuomas Sandholm	0
74	James T. Kwok	0
75	David C. Parkes	0
76	Peter Stone	0
77	Katia P. Sycara	0
78	Rudi Studer	0
79	Jeff Z. Pan	0
80	Timothy W. Finin	0
81	Takahira Yamaguchi	0
82	Yongmei Liu	0
83	Sarosh Talukdar	0
84	Li Chen	0
85	Iyad Rahwan	0
86	Li Ding	0
87	Rong Pan	0
88	Louiqa Raschid	0
89	Arun K. Pujari	0
90	Feng Zhao	0
91	Yoav Shoham	0
92	Panagiotis G. Ipeirotis	0
93	Jie Zhang	0
94	Robin Cohen	0
95	Chen Ding	0
96	Parry Husbands	0
97	Yen-Kuang Chen	0
98	Amol Ghoting	0
99	Naphtali Rishe	0
100	Juan E. Gilbert	0
101	Eric N. Hanson	0
102	Miroslaw Truszczynski	0
103	Andrew Lim	0
104	Thomas J. Murray	0
105	Vram Kouramajian	0
106	B. John Oommen	0
107	Sheau-Dong Lang	0
108	Jyh-haw Yeh	0
109	Morgan C. Wang	0
110	Jun Zhang	0
111	Li Yang	0
112	Lei Zhang	0
113	Catharine M. Wyss	0
114	Xin Xu	0
115	Paul S. Fisher	0
116	Sukhamay Kundu	0
117	Ching-Chi Hsu	0
118	Maria Zemankova	0
119	Guido Moerkotte	0
120	S. Misbah Deen	0
121	Stefano Bistarelli	0
122	Yoichi Shinoda	0
123	Wei Wang	0
124	Hidehiko Tanaka	0
125	Markus Schneider	0
